,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
37,gp:AOqpTOHBnOia1gFGbsVnjxvdq4eE--JxRvOu1OayXDtCf1kVoaaOUgrUFj3-1LRdXj_W7cD7WHaQg4ekJtf4sQ,Roserversi ii,https://play-lh.googleusercontent.com/a/AATXAJw3n78EFPnBim6UJYnq2gKdUgrvWHnr-aDBBqzk=mo,"uhh so I've always loved Instagram but for some reason this thing has been lagging for a long time. Whenever I open it it always says ""couldn't refresh feed"" . And no , it's not my internet. Fix the glitch ig",1,13,214.1.0.29.120,2021-12-01 16:35:36,,
38,gp:AOqpTOEM92H60agnq5Jmbf3mTUtAzX4bq4VuBxGHLxTkIjUFqaNVzOlMDflyqYs5Ssy0nIDX0L_WN7VQyNENTQ,Soumya Choudhury,https://play-lh.googleusercontent.com/a-/AOh14GixtG6jGtJUCw_IRAIBj_P6UU9GLNdM8tUoRebhrQ,Very low quality performance. It shows so many problems. Mayn others problem Please clarify all problems. I am faceing many problems Today there is no function occur please update app with proper work. Notification is not showing in phone bar .. please solve my problem Please solve my problem I am unable to get notification,1,9,213.0.0.29.120,2021-11-15 19:24:27,,
39,gp:AOqpTOGxdAMzKxx9K_DJwAVHpxyJodLH0nDrbFSZJSxDR_jmMA5Yzqy2b6kMGrQ9OMB1PUlETrYJm9RzxrtUAw,S S VLOGS,https://play-lh.googleusercontent.com/a-/AOh14Gi5bLJ3QY-u0NMvXcAPsepfyYcqvkDxP1VdFiaEaQ,Very bad instagram first of all i got a msg that your feed can't get refresh and screen turns white then i uninstall the app and again download then also same error occurred somehow it get started but now i am not able to see the reels and i cant make reels on Instagram. Shame on Instagram,1,0,214.1.0.29.120,2021-12-04 23:39:59,,
40,gp:AOqpTOH5ZFCAchdx39ALGpGQGzbQs_xQ9Uh4QPve5CAq07MzZER9iDzuFuPnDH9CIpnmRhZgZgwfgk6Cz2TURg,Ankita Padhy,https://play-lh.googleusercontent.com/a-/AOh14GiCtuNM3P8eZWaSnlqFz9-657zs8ua3NL9hltvgOQ,I don't know what's the problem in insta when it was linked with Facebook it ran well. I temporarily deactivated my account since 2months and now when i tried to login into my account I can't log in. When I enter my pswrd it shows 'incorrect pswrd' and when I tried to log in by using my mobile number I can't log in!!! It shows me that ' no users found'.. earlier I temporarily deactivated my account thrice but I didn't faced this problem.please insta help me to login into my old acc ! Please !!,1,4,213.0.0.29.120,2021-11-16 07:58:56,,
41,gp:AOqpTOGHiOettRONI27RtAoXzufGfgJKhPZgXFviUbQH8FUQJ_lsGTyC4UCfdO6sDl7tAdwoFKV-JqiSPf1-8g,Sanskari Grapher,https://play-lh.googleusercontent.com/a-/AOh14Gh3q97uVGRfrLWkdECPS4nMQniq0okVpWv5a3N-,"The notifications have started sucking it isn't showing present notification, at any time it will start bursting off all the notifications that were to come up, but until then i have already replied to them by visiting the dms and seen all of them and replied to it too . Fix this soon",1,13,213.0.0.29.120,2021-11-15 19:59:35,,
42,gp:AOqpTOFuAC5hX2TRvpismaDaa8-GVbK8oZJBc-8JdJ30MeYIblqHcxYBqKUKvDNK_QLxeHBxvwraEmAuGK8eNg,Sikha Sardar,https://play-lh.googleusercontent.com/a-/AOh14Gh47-D5oY8fYWahn40BFg1wQF3zRbdpPwEECY7ejw,I am facing problem in Instagram music. I belong from India my location is enabled thought I am getting only English song while making a story. I want english songs also. I have given 5 stars because I am not facing any other problem than this and it may be a technical issue not the issue of Instagram,5,82,214.1.0.29.120,2021-11-23 10:38:04,,
43,gp:AOqpTOEwDiinXY04pfMVM44jnyNONJc704E-CsUqXGXMlEWvUK6duAexXkAhw5-SOd8uKFrZKl_HhfhrcxVrQA,Aman Kumar,https://play-lh.googleusercontent.com/a-/AOh14GgzSR0YjR6YBgFaHhVXXkiXxjtthYQcwj2Fc25jGg,I have been reporting insta team many times about not showing reels feature music sticker and about music is not available problem but Instagram is taking no response 😔 Instagram service is awful and also its app. It even does not deserve one star and I am trying since one year.,1,0,214.1.0.29.120,2021-11-27 10:24:28,,
44,gp:AOqpTOH1wVkjtgtM1RT1u0V7Tx22Lf34opQk9wsfrUlNYxnCDl3iu26jsynFyiaAQjE7JEuU0FGKllRzIjrCag,Jenifer Miskina,https://play-lh.googleusercontent.com/a-/AOh14Gj_PHWFgfMGGkgtM3feMjk49TbQLvT1zsFsMuwb,I loved this app. But now for one account i didn't get messenger update. I tried a lot but i cant get. I need to update messenger. Please help me. And i didn't get many features in instagram. Help me to clear this problem. And i deleted that accounts andcreated new but the same problem. I didnt get add yours in story . clear that problem.,2,103,214.1.0.29.120,2021-11-20 11:36:10,,
45,gp:AOqpTOFSbsICqBbKqam4Klz8DWpqi3b7vRMPEqaBAM_6dERYSJxOo5Mtx1mXj8KmwvdvucCMqMgRUZfG40WuYw,rohit ghosh,https://play-lh.googleusercontent.com/a-/AOh14GgqVKHMHGWFwlYFbPzvmWLCjswWJ4CQJNPX9ZzksQ,"I love the app, but idk why somehow I am not getting the option for posting 60 sec reels. I have reported it like a 100 times but there's still no response. Please help if anyone knows how to get it fixed!!",3,3,213.0.0.29.120,2021-11-16 03:27:31,,
46,gp:AOqpTOERsd9mB5wjpJggBUZ8kkEVLRYJQka1mw_SuW05h3difm6jhYvxRFPSjX4KiQ8fPke7wkk6twG4KN2QJQ,Mivin P Vijay,https://play-lh.googleusercontent.com/a-/AOh14GgwQrA-GqVYbbm3nNqxTQQSGEyVcMy6H0xmGuAOsT8,"After last update, progress bar was removed from videos. It was a disappointing feature. Now while watching videos, the screen gets off and we are getting forced to watch it again grom the beginning ( I won't do it). Do fix this asap",1,83,214.1.0.29.120,2021-11-21 19:54:22,,
